Dam,Year,ChinookAdult,ChinookJack,CohoAdult,CohoJack,Steelhead,UnclippedSteelhead,Sockeye,Pink,Chum,Lamprey,Shad
LGR,1975,28460,0,921,0,17786,0,209,0,0,0,1
LGR,1976,31667,0,900,0,23017,0,531,0,0,0,0
LGR,1977,49123,0,268,0,53037,0,458,0,0,0,25
LGR,1978,54246,0,152,0,30068,0,123,0,0,0,0
LGR,1979,12548,0,158,0,25046,0,25,0,0,0,75
LGR,1980,8603,2385,30,13,40454,0,96,0,0,0,308
LGR,1981,16778,2420,1,16,40234,0,218,0,0,0,72
LGR,1982,17301,2175,31,28,72840,0,211,0,0,0,30
LGR,1983,13947,2253,25,26,86592,0,122,0,0,0,552
LGR,1984,12577,3956,0,0,99206,0,47,0,0,0,320
LGR,1985,30962,5597,1,0,118463,0,35,0,0,0,692
LGR,1986,38660,4363,1,0,134492,0,15,0,0,0,132
LGR,1987,35676,2000,0,0,70151,0,29,0,0,0,1037
LGR,1988,36267,1615,0,0,87040,0,23,0,0,0,2977
LGR,1989,16830,2727,0,0,132579,0,2,0,0,0,1310
LGR,1990,22793,552,9,0,56859,0,0,0,0,0,2804
LGR,1991,11062,2556,0,0,100381,0,8,3,0,0,722
LGR,1992,25260,933,0,0,121459,0,15,0,0,0,22298
LGR,1993,29456,352,0,0,66699,0,12,0,0,0,908
LGR,1994,4706,371,0,0,47550,8185,5,0,0,0,3402
LGR,1995,2864,838,0,0,80853,7632,3,0,0,0,373
LGR,1996,8122,3007,0,0,86072,9583,3,0,0,0,265
LGR,1997,46015,712,84,8,85917,8991,11,0,0,0,111
LGR,1998,16118,2439,10,2,72017,9559,2,0,0,0,629
LGR,1999,9937,5947,242,20,74370,11746,14,0,0,18,1006
LGR,2000,41455,21204,889,36,113211,20604,299,0,0,28,3250
LGR,2001,194608,15773,968,119,262568,47716,36,0,0,27,18432
LGR,2002,109535,9767,246,149,218718,57291,55,0,0,138,3119
LGR,2003,98763,20913,1135,130,180672,45391,11,1,0,282,17545
LGR,2004,94469,14592,3802,102,154389,36209,113,0,0,122,33987
LGR,2005,43958,5572,2077,106,155783,35977,18,0,0,40,13584
LGR,2006,37636,8356,1141,293,145991,29836,17,0,0,35,7923
LGR,2007,40384,22146,2532,266,158117,33183,52,0,0,34,21333
LGR,2008,89386,26246,3458,1312,175481,43678,909,0,0,61,3568
LGR,2009,79316,88716,4629,283,323697,76203,1219,0,0,12,3457
LGR,2010,164796,24598,1509,393,206885,61278,2201,0,0,15,3279
LGR,2011,121354,58143,5060,291,183648,48105,1502,0,0,48,174
LGR,2012,114217,27232,2433,202,110675,31426,470,0,0,48,7413
LGR,2013,100019,49907,2096,358,107910,33634,757,0,0,19,1892
LGR,2014,154522,40645,18098,553,164088,52151,2786,0,0,82,1206
LGR,2015,179131,24128,1449,239,139776,39272,440,0,0,50,84833
LGR,2016,108874,19959,2841,329,100176,23786,816,0,0,106,42486
LGR,2017,62739,18579,8178,624,76798,14844,228,0,0,346,28771
LGR,2018,55369,8760,2037,957,53536,12135,276,0,0,207,49709
LGR,2019,39393,12014,7683,403,35094,12277,81,0,0,94,16345
At Lower Granite Dam for the year 2019, the start date is 03/01/2019 and the end date is 12/30/2019.
This file contains adult salmon annual totals dam count data for the requested time period of: 1975 to 2019 for Lower Granite Dam.